,datetime,BuyerPrice,SellerPrice
0,2023-03-03 03:53:08,170,179
1,2023-03-03 03:54:34,170,179
2,2023-03-03 03:55:50,170,179
3,2023-03-03 03:57:05,170,179
4,2023-03-03 03:58:34,170,179
5,2023-03-03 03:59:36,170,179
6,2023-03-03 04:01:09,170,175
7,2023-03-03 04:02:36,170,175
8,2023-03-03 04:03:54,170,175
9,2023-03-03 04:05:22,170,175
10,2023-03-03 04:07:21,160,175
11,2023-03-03 04:08:57,160,175
12,2023-03-03 04:10:11,160,175
13,2023-03-03 04:11:32,160,175
14,2023-03-03 04:12:45,160,179
15,2023-03-03 04:14:01,160,179
16,2023-03-03 04:15:47,160,179
17,2023-03-03 04:17:02,160,179
18,2023-03-03 04:18:26,160,179
19,2023-03-03 04:19:55,160,179
20,2023-03-03 04:21:46,160,178
21,2023-03-03 04:25:56,160,178
22,2023-03-03 04:27:07,160,178
23,2023-03-03 04:28:22,160,178
24,2023-03-03 04:30:41,160,178
25,2023-03-03 04:32:25,160,175
26,2023-03-03 04:33:41,160,178
27,2023-03-03 04:35:05,160,178
28,2023-03-03 04:36:23,160,178
29,2023-03-03 04:37:44,160,178
30,2023-03-03 04:38:48,160,178
31,2023-03-03 04:40:07,160,178
32,2023-03-03 04:41:31,160,178
33,2023-03-03 04:43:04,160,178
34,2023-03-03 04:44:17,160,178
35,2023-03-03 04:45:34,160,178
36,2023-03-03 04:46:58,160,178
37,2023-03-03 04:48:21,160,178
38,2023-03-03 04:49:29,160,178
39,2023-03-03 04:50:37,160,178
40,2023-03-03 04:51:57,160,178
41,2023-03-03 04:54:26,160,178
42,2023-03-03 04:55:48,160,178
43,2023-03-03 04:57:03,160,178
44,2023-03-03 04:57:57,160,178
45,2023-03-03 04:59:07,160,178
46,2023-03-03 05:00:23,160,178
47,2023-03-03 05:02:22,160,178
48,2023-03-03 05:04:15,160,178
49,2023-03-03 05:06:15,160,178
50,2023-03-03 05:08:13,160,178
51,2023-03-03 05:09:36,160,178
52,2023-03-03 05:10:55,165,178
53,2023-03-03 05:12:14,165,178
54,2023-03-03 05:13:48,165,178
55,2023-03-03 05:14:54,165,178
56,2023-03-03 05:16:15,165,178
57,2023-03-03 05:17:32,165,178
58,2023-03-03 05:19:02,165,178
59,2023-03-03 05:20:57,165,178
60,2023-03-03 05:22:29,165,178
61,2023-03-03 05:23:59,165,178
62,2023-03-03 05:25:26,165,178
